property_type,price_aprox_usd,surface_covered_in_m2,state,lat,lon
apartment,34720.39,60.0,Distrito Federal,19.317698,-99.061256
apartment,143342.37,100.0,Distrito Federal,19.422201,-99.159447
apartment,68508.67,90.0,Distrito Federal,19.503195,-99.206723
house,63238.77,247.0,Distrito Federal,19.364245,-99.302638
apartment,225498.15,74.0,Distrito Federal,19.405298,-99.164986
apartment,168636.73,95.0,Distrito Federal,19.3687777,-99.1897886
apartment,34246.21,59.0,Distrito Federal,19.524143,-99.160149
apartment,565500.0,136.0,Quintana Roo,20.6347622491,-87.0636034012
apartment,31717.26,65.0,Distrito Federal,19.325608,-99.06112
apartment,31225.54,40.0,Distrito Federal,19.457685,-99.121754
house,44794.13,0.0,Quintana Roo,21.129547,-86.817017
apartment,158059.45,100.0,Distrito Federal,19.3677299,-99.1527773
apartment,85668.22,70.0,Distrito Federal,19.332149,-99.244008
apartment,750000.0,239.0,Quintana Roo,21.1295101033,-86.7501325607
apartment,520522.86,243.0,Distrito Federal,19.420103,-99.171297
house,50315.59,100.0,Solidaridad,20.678161,-87.053842
house,79822.08,148.0,Distrito Federal,19.352528,-99.217276
house,168596.74,320.0,Distrito Federal,19.481972,-99.199944
apartment,49055.95,70.0,Quintana Roo,20.6542296048,-87.087635994
apartment,89567.02,64.0,Distrito Federal,19.410307,-99.065399
house,173906.62,185.0,Quintana Roo,21.100996554,-86.8623733521
apartment,390000.0,200.0,Quintana Roo,21.1295466,-86.8170132
apartment,66014.21,540.0,Distrito Federal,19.334351,-99.11442
apartment,255529.44,112.0,Distrito Federal,19.403489,-99.156312
house,98471.03,204.0,Distrito Federal,19.515999,-99.155679
apartment,54899.31,60.0,Distrito Federal,19.379109,-99.187689
house,2000000.0,619.0,Distrito Federal,19.3472426513,-99.1838417575
apartment,51632.75,85.0,Distrito Federal,19.452419,-99.175058
apartment,68492.42,50.0,Distrito Federal,19.287188,-99.170525
apartment,254709.42,55.0,Distrito Federal,19.4152179,-99.1790121
apartment,44203.95,60.0,Distrito Federal,19.475187,-99.175019
house,285628.46,370.0,Distrito Federal,19.508795,-99.125714
apartment,484715.65,100.0,Distrito Federal,19.438042,-99.188619
apartment,120652.04,120.0,Distrito Federal,19.367931,-99.170262
apartment,142253.5,81.0,Distrito Federal,19.367424,-99.185753
apartment,60589.45,101.0,Distrito Federal,19.314895,-99.09423
store,210795.91,280.0,Quintana Roo,21.1579193,-86.8238997
apartment,46469.47,76.0,Distrito Federal,19.273716,-99.186416
apartment,139968.48,64.0,Distrito Federal,19.365391,-99.18956
apartment,86827.32,75.0,Distrito Federal,19.396862,-99.172659
apartment,144595.94,59.0,Distrito Federal,19.3317863,-99.244927
apartment,19030.83,43.0,Distrito Federal,19.346609,-99.072311
apartment,168596.74,100.0,Distrito Federal,23.634501,-102.552788
apartment,44730.82,46.0,Distrito Federal,19.410307,-99.065399
apartment,184446.42,106.0,Distrito Federal,19.3714480121,-99.149787426
house,151671.87,294.0,Distrito Federal,19.307933,-99.240102
house,152790.8,250.0,Distrito Federal,19.486041,-99.067297
apartment,625000.0,350.0,Distrito Federal,19.420166,-99.220367
house,205477.28,235.0,Distrito Federal,23.634501,-102.552788
apartment,54688.57,69.0,Distrito Federal,19.422243,-99.127305
house,158096.93,200.0,Quintana Roo,21.161908,-86.8515279
apartment,75375.18,85.0,Distrito Federal,19.469418,-99.164299
apartment,94673.92,116.0,Distrito Federal,19.387782,-99.186194
house,385000.0,220.0,Quintana Roo,20.613448043,-87.0964579575
apartment,310923.97,60.0,Distrito Federal,19.411472,-99.188522
house,150719.07,300.0,Distrito Federal,19.311361,-99.109672
apartment,458372.4,213.0,Distrito Federal,19.388965,-99.171897
apartment,1850000.0,400.0,Distrito Federal,19.396714267,-99.2374929786
apartment,60603.82,53.0,Distrito Federal,19.262049,-99.1138
apartment,60030.97,70.0,Distrito Federal,19.402944,-99.199727
apartment,995000.0,330.0,Distrito Federal,19.413143,-99.2305521
apartment,54372.45,75.0,Distrito Federal,19.379525,-99.188914
apartment,62433.48,70.0,Distrito Federal,19.346767,-99.123658
house,100104.31,204.0,Distrito Federal,19.515966,-99.15581
apartment,690000.0,130.0,Quintana Roo,21.1612887,-86.8397009
apartment,42096.5,23.0,Distrito Federal,19.451994,-99.128867
house,1028494.71,417.0,Distrito Federal,19.4326577,-99.1774462
house,65858.1,103.0,Quintana Roo,21.192402,-86.834587
apartment,68546.74,55.0,Distrito Federal,19.384808,-99.137496
house,342462.14,325.0,Distrito Federal,19.340202,-99.257774
apartment,139619.18,75.0,Distrito Federal,19.45337,-99.181695
house,26870.1,52.0,Distrito Federal,19.455979,-99.122144
house,76395.4,128.0,Benito Juárez,21.139086,-86.84964
apartment,168849.64,63.0,Distrito Federal,19.397397,-99.155802
apartment,117735.94,62.0,Distrito Federal,19.4306069,-99.0949899
apartment,167421.83,97.0,Distrito Federal,19.341894,-99.224525
house,144835.14,270.0,Distrito Federal,19.474582,-99.139835
house,150683.34,175.0,Distrito Federal,23.634501,-102.552788
apartment,76922.26,80.0,Distrito Federal,23.634501,-102.552788
apartment,720000.0,250.0,Distrito Federal,19.3929373,-99.2633141
apartment,38303.07,50.0,Distrito Federal,19.283388,-99.055038
apartment,168596.74,100.0,Distrito Federal,19.431629,-99.162762
apartment,426861.72,235.0,Distrito Federal,19.3864346,-99.1594925
apartment,175231.5,115.0,Distrito Federal,19.428324,-99.176337
apartment,1500000.0,350.0,Distrito Federal,19.371342,-99.253616
apartment,194986.21,60.0,Distrito Federal,19.4445115,-99.1895493
apartment,313484.57,94.0,Distrito Federal,19.429392,-99.181017
apartment,473816.51,157.0,Distrito Federal,19.394358,-99.177444
house,124369.58,0.0,Quintana Roo,20.6227211606,-87.0993175486
house,101263.42,150.0,Distrito Federal,19.358008,-99.127094
apartment,54688.57,70.0,Distrito Federal,19.456145,-99.201167
apartment,178988.63,125.0,Distrito Federal,19.2998307,-99.1111526
house,39524.23,180.0,Quintana Roo,21.161908,-86.8515279
apartment,73761.07,0.0,Distrito Federal,19.365156,-99.1138
apartment,30031.29,24.0,Distrito Federal,19.2942374893,-99.0416193008
apartment,47207.08,48.0,Distrito Federal,19.410307,-99.065399
apartment,94858.16,110.0,Distrito Federal,19.400785,-99.147419
apartment,326656.19,137.0,Distrito Federal,19.275206,-99.218292
apartment,71126.75,0.0,Distrito Federal,19.4535629028,-99.182510376
apartment,233851.71,125.0,Distrito Federal,19.394358,-99.177444
house,167582.75,142.0,Distrito Federal,19.2681974,-99.1307421
house,101158.04,312.0,Distrito Federal,19.444992,-99.108269
apartment,167421.83,97.0,Distrito Federal,19.341894,-99.224525
apartment,75815.85,90.0,Distrito Federal,19.334546,-99.207876
apartment,37201.39,85.0,Distrito Federal,19.370272,-99.149127
house,410954.57,557.0,Distrito Federal,19.417539,-99.136296
house,121178.91,200.0,Distrito Federal,19.516777,-99.160149
apartment,168596.74,126.0,Distrito Federal,19.437841,-99.220367
apartment,110667.85,150.0,Distrito Federal,19.48527,-99.200287
apartment,27198.6,70.0,Distrito Federal,19.307417,-99.125191
house,776086.39,429.0,Distrito Federal,19.357464,-99.207909
house,94067.67,128.0,Distrito Federal,19.492686,-99.097877
apartment,145000.0,88.0,Quintana Roo,20.6167183342,-87.0924425125
apartment,90058.74,75.0,Distrito Federal,19.384808,-99.155339
house,50727.6,100.0,Distrito Federal,19.397059,-99.184501
apartment,225498.15,75.0,Distrito Federal,19.409095,-99.163216
house,150683.34,160.0,Distrito Federal,19.300714,-99.12215
house,195466.85,354.0,Distrito Federal,19.275756,-99.207832
apartment,368892.84,165.0,Distrito Federal,19.4097609,-99.1686282
house,1500000.0,450.0,Quintana Roo,21.1117463016,-86.7666184902
apartment,68861.23,51.0,Distrito Federal,19.473415,-99.143539
house,116464.74,12.0,Distrito Federal,19.4669373,-99.1013994
apartment,439932.13,147.0,Distrito Federal,19.430132,-99.169144
house,658737.22,0.0,Distrito Federal,19.2831289,-99.2217537
house,342462.14,431.0,Distrito Federal,19.3073525,-99.1061901
apartment,263432.41,180.0,Quintana Roo,21.161908,-86.8515279
apartment,54952.0,89.0,Distrito Federal,19.44673,-99.161695
apartment,226605.6,136.0,Distrito Federal,19.394358,-99.177444
house,164645.26,518.0,Distrito Federal,19.337688,-99.059181
house,63223.78,180.0,Distrito Federal,19.364245,-99.302638
apartment,128000.0,236.5,Solidaridad,20.6308744857,-87.0719714991
apartment,526864.83,293.0,Distrito Federal,19.354509,-99.149765
house,62606.38,106.0,Distrito Federal,19.469688,-99.085456
apartment,145876.0,184.5,Distrito Federal,19.5010872,-99.1230477
house,202842.96,263.0,Distrito Federal,19.28127,-99.132254
apartment,131747.44,100.0,Distrito Federal,19.3898619,-99.1674138
apartment,33930.09,60.0,Distrito Federal,19.302076,-99.049427
apartment,574282.67,212.0,Distrito Federal,19.392874,-99.264987
apartment,93255.07,69.0,Distrito Federal,19.472155,-99.161186
apartment,142253.5,55.0,Distrito Federal,19.372684,-99.183678
apartment,52100.61,52.0,Distrito Federal,19.456439,-99.144414
apartment,91147.61,200.0,Distrito Federal,19.401507,-99.14682
apartment,700000.0,410.0,Distrito Federal,19.390415,-99.254997
apartment,215000.0,51.0,Solidaridad,20.6295586,-87.0738851
apartment,130900.0,33.0,Solidaridad,20.623687,-87.083843
house,3000000.0,1200.0,Distrito Federal,19.320575,-99.20929
apartment,163328.09,90.0,Distrito Federal,19.368475,-99.17952
apartment,54829.08,66.0,Distrito Federal,19.368823,-99.224603
apartment,55333.92,98.0,Distrito Federal,19.3549174,-99.0993735
apartment,225504.19,65.0,Distrito Federal,19.358585,-99.185753
apartment,142287.24,119.0,Distrito Federal,19.3703820187,-99.1493282287
apartment,53158.13,90.0,Distrito Federal,19.395097,-99.150424
house,169123.61,300.0,Distrito Federal,19.365271,-99.232466
apartment,26870.1,64.0,Distrito Federal,19.320269,-99.055412
house,118572.7,290.0,Benito Juárez,21.1773896,-86.8179603
apartment,210745.93,106.0,Distrito Federal,19.367745,-99.180127
apartment,60589.45,65.0,Distrito Federal,19.468092,-99.088883
house,357214.36,240.0,Distrito Federal,19.338417,-99.156145
house,58771.77,100.0,Distrito Federal,19.325155,-99.088905
apartment,458372.4,270.0,Distrito Federal,19.3769448,-99.1651109
apartment,127400.0,96.0,Quintana Roo,20.630901,-87.069916
apartment,866400.0,152.0,Distrito Federal,19.432609,-99.1941739
house,1350000.0,700.0,Distrito Federal,19.402305,-99.240641
apartment,156444.61,52.0,Distrito Federal,19.405298,-99.164986
apartment,36889.28,71.0,Distrito Federal,19.2818221685,-99.1876426712
apartment,159640.04,127.0,Distrito Federal,19.391074,-99.165737
apartment,20582.81,70.0,Distrito Federal,19.418844,-99.132357
apartment,905000.0,550.0,Quintana Roo,21.161908,-86.8515279
apartment,1215000.0,184.0,Distrito Federal,19.4368736,-99.1973268
house,9000000.0,1600.0,Distrito Federal,19.3818873,-99.2202827
house,474178.35,307.0,Distrito Federal,19.358585,-99.185753
apartment,152827.03,147.0,Quintana Roo,21.161908,-86.8515279
apartment,230821.52,85.0,Distrito Federal,19.3943574,-99.1774462
house,82770.46,77.5,Solidaridad,20.675823245,-87.0565595777
apartment,33297.85,70.0,Distrito Federal,19.397649,-99.093087
apartment,169000.0,68.0,Quintana Roo,20.6369485603,-87.0677702129
apartment,55847.67,53.0,Distrito Federal,19.408805,-99.129702
apartment,263284.09,220.0,Quintana Roo,21.1517157163,-86.8185353279
house,242357.82,350.0,Distrito Federal,19.33923,-99.218987
apartment,94022.66,57.0,Distrito Federal,23.634501,-102.552788
apartment,163366.83,80.0,Distrito Federal,19.3499358,-99.2906864
apartment,46364.1,75.0,Distrito Federal,19.313878,-99.094271
apartment,263432.41,110.0,Distrito Federal,19.427922,-99.160613
apartment,51076.22,60.0,Distrito Federal,19.392025,-99.135302
apartment,90058.74,90.0,Distrito Federal,19.384808,-99.155339
house,167806.45,289.0,Distrito Federal,19.50772,-99.121305
store,128000.0,50.0,Quintana Roo,20.6148413173,-87.0929842048
apartment,46726.39,75.0,Distrito Federal,19.361114,-99.222666
house,167846.24,200.0,Distrito Federal,19.50772,-99.121305
apartment,105741.77,60.0,Distrito Federal,19.493973,-99.130394
